Time, HydroPower, WindPower, SolarPower
2022/3/31/5/13, 1602.044, 1054.28, 0.0
2022/3/31/6/13, 1888.35, 998.794, 0.0
2022/3/31/7/13, 2234.787, 904.226, 8.58
2022/3/31/8/13, 2385.956, 645.958, 22.907
2022/3/31/9/13, 2407.421, 304.803, 73.576
2022/3/31/10/13, 2383.669, 107.946, 96.402
2022/3/31/11/13, 2237.213, 103.825, 119.875
2022/3/31/12/13, 2100.46, 145.697, 123.274
2022/3/31/13/13, 2151.991, 195.108, 128.293
2022/3/31/14/13, 2073.031, 234.061, 124.084
2022/3/31/15/13, 2025.718, 288.194, 118.822
2022/3/31/16/13, 2092.919, 330.263, 84.26
2022/3/31/17/13, 2048.219, 344.928, 62.082
2022/3/31/18/13, 2099.808, 253.77, 36.748
2022/3/31/19/13, 2188.11, 220.99, 6.233
2022/3/31/20/13, 2392.011, 235.203, 0.0
2022/3/31/21/13, 2250.753, 263.854, 0.0
2022/3/31/22/13, 2075.038, 329.26, 0.0
2022/3/31/23/13, 1737.154, 317.187, 0.0
2022/3/31/24/13, 1664.325, 238.452, 0.0
2022/4/1/1/13, 1568.41, 217.808, 0.0
2022/4/1/2/13, 1389.917, 181.205, 0.0
2022/4/1/3/13, 1468.06, 130.451, 0.0
2022/4/1/4/13, 1422.027, 66.325, 0.0
2022/4/1/5/13, 1550.153, 45.081, 0.0
2022/4/1/6/13, 1830.814, 64.513, 0.0
2022/4/1/7/13, 2239.545, 96.879, 10.684
2022/4/1/8/13, 2423.334, 74.396, 34.805
2022/4/1/9/13, 2399.807, 47.798, 88.793
2022/4/1/10/13, 2386.567, 49.777, 120.037
2022/4/1/11/13, 2274.217, 32.882, 150.956
2022/4/1/12/13, 2237.567, 30.432, 165.121
2022/4/1/13/13, 2140.978, 68.448, 171.839
2022/4/1/14/13, 2013.547, 127.343, 160.669
2022/4/1/15/13, 2003.797, 178.694, 145.614
2022/4/1/16/13, 1994.826, 224.801, 107.329
2022/4/1/17/13, 1864.879, 225.034, 73.252
2022/4/1/18/13, 1920.356, 186.166, 42.899
2022/4/1/19/13, 2103.695, 198.815, 7.123
2022/4/1/20/13, 2156.539, 287.034, 0.0
2022/4/1/21/13, 2209.853, 469.21, 0.0
2022/4/1/22/13, 2093.545, 720.705, 0.0
2022/4/1/23/13, 1935.097, 957.285, 0.0
2022/4/1/24/13, 1859.712, 1016.437, 0.0
2022/4/2/1/13, 1750.564, 1116.247, 0.0
2022/4/2/2/13, 1477.62, 1214.024, 0.0
2022/4/2/3/13, 1367.602, 1393.347, 0.0
2022/4/2/4/13, 1349.972, 1615.592, 0.0
2022/4/2/5/13, 1316.891, 1926.721, 0.0
2022/4/2/6/13, 1257.468, 2179.308, 0.0
2022/4/2/7/13, 1312.499, 2322.78, 16.431
2022/4/2/8/13, 1423.914, 2207.035, 51.398
2022/4/2/9/13, 1550.659, 1851.592, 95.107
2022/4/2/10/13, 1607.231, 1611.846, 128.05
2022/4/2/11/13, 1545.729, 1898.972, 152.656
2022/4/2/12/13, 1365.372, 2100.031, 167.468
2022/4/2/13/13, 1282.779, 2174.433, 169.654
2022/4/2/14/13, 1199.739, 2134.097, 153.223
2022/4/2/15/13, 1225.785, 2116.556, 130.802
2022/4/2/16/13, 1176.744, 2032.452, 89.198
2022/4/2/17/13, 1313.754, 1755.095, 73.495
2022/4/2/18/13, 1508.886, 1499.276, 45.408
2022/4/2/19/13, 1966.337, 1363.414, 10.361
2022/4/2/20/13, 2050.793, 1298.358, 0.0
2022/4/2/21/13, 1783.6, 1227.788, 0.0
2022/4/2/22/13, 1697.044, 1082.555, 0.0
2022/4/2/23/13, 1404.737, 1019.706, 0.0
2022/4/2/24/13, 1202.516, 1076.294, 0.0
2022/4/3/1/13, 915.456, 1153.149, 0.0
2022/4/3/2/13, 911.134, 1186.724, 0.0
2022/4/3/3/13, 912.223, 1118.16, 0.0
2022/4/3/4/13, 934.129, 1056.06, 0.0
2022/4/3/5/13, 991.043, 976.107, 0.0
2022/4/3/6/13, 1115.807, 806.92, 0.0
2022/4/3/7/13, 1258.702, 721.91, 11.817
2022/4/3/8/13, 1632.584, 547.086, 46.946
2022/4/3/9/13, 1978.395, 330.765, 83.856
2022/4/3/10/13, 2059.662, 166.122, 104.01
2022/4/3/11/13, 2074.679, 287.013, 119.875
2022/4/3/12/13, 1803.789, 335.991, 136.63
2022/4/3/13/13, 1684.903, 422.994, 137.763
2022/4/3/14/13, 1464.412, 491.719, 119.065
2022/4/3/15/13, 1325.301, 535.76, 101.744
2022/4/3/16/13, 1304.213, 550.573, 71.714
2022/4/3/17/13, 1469.505, 491.192, 52.207
2022/4/3/18/13, 1754.184, 408.483, 24.606
2022/4/3/19/13, 2095.47, 262.978, 6.718
2022/4/3/20/13, 2292.792, 253.511, 0.0
2022/4/3/21/13, 2163.921, 292.944, 0.0
2022/4/3/22/13, 1919.171, 365.712, 0.0
2022/4/3/23/13, 1554.116, 384.737, 0.0
2022/4/3/24/13, 1240.265, 367.074, 0.0
2022/4/4/1/14, 1020.797, 386.604, 0.0
2022/4/4/2/14, 905.282, 413.601, 0.0
2022/4/4/3/14, 904.021, 470.384, 0.0
2022/4/4/4/14, 914.089, 565.369, 0.0
2022/4/4/5/14, 905.748, 668.071, 0.0
2022/4/4/6/14, 1283.53, 715.486, 0.081
2022/4/4/7/14, 2126.952, 779.522, 6.718
2022/4/4/8/14, 2185.202, 752.502, 22.34
2022/4/4/9/14, 2138.273, 586.547, 40.957
2022/4/4/10/14, 2012.031, 417.415, 43.142
2022/4/4/11/14, 1916.164, 367.478, 55.121
2022/4/4/12/14, 1854.497, 363.139, 60.302
2022/4/4/13/14, 1805.726, 434.257, 58.845
2022/4/4/14/14, 1607.774, 610.428, 57.145
2022/4/4/15/14, 1313.738, 812.182, 49.536
2022/4/4/16/14, 1288.639, 947.16, 41.766
2022/4/4/17/14, 1392.627, 996.853, 29.463
2022/4/4/18/14, 1514.642, 1118.52, 16.026
2022/4/4/19/14, 1619.965, 1253.88, 3.723
2022/4/4/20/14, 1475.163, 1430.557, 0.0
2022/4/4/21/14, 1384.167, 1589.922, 0.0
2022/4/4/22/14, 1084.902, 1730.162, 0.0
2022/4/4/23/14, 999.76, 1762.867, 0.0
2022/4/4/24/14, 887.494, 1863.585, 0.0
2022/4/5/1/14, 774.496, 1909.819, 0.0
2022/4/5/2/14, 764.845, 1990.562, 0.0
2022/4/5/3/14, 735.421, 2074.328, 0.0
2022/4/5/4/14, 697.238, 2073.577, 0.0
2022/4/5/5/14, 774.306, 2004.5, 0.0
2022/4/5/6/14, 1330.643, 1891.175, 0.081
2022/4/5/7/14, 1830.5, 1827.12, 6.233
2022/4/5/8/14, 2234.428, 1794.677, 19.345
2022/4/5/9/14, 2342.494, 1776.251, 31.082
2022/4/5/10/14, 2209.298, 1756.416, 42.413
2022/4/5/11/14, 2085.575, 1762.927, 51.317
2022/4/5/12/14, 2110.783, 1761.697, 79.242
2022/4/5/13/14, 2061.05, 1829.059, 83.046
2022/4/5/14/14, 1956.513, 1901.874, 77.542
2022/4/5/15/14, 1766.058, 1993.512, 58.278
2022/4/5/16/14, 1525.945, 2067.278, 45.085
2022/4/5/17/14, 1875.395, 2140.23, 32.781
2022/4/5/18/14, 1861.204, 2150.693, 18.374
2022/4/5/19/14, 2019.811, 2163.902, 5.666
2022/4/5/20/14, 2180.604, 2139.564, 0.081
2022/4/5/21/14, 1711.703, 2184.649, 0.0
2022/4/5/22/14, 1274.096, 2178.974, 0.0
2022/4/5/23/14, 1282.085, 2106.067, 0.0
2022/4/5/24/14, 847.644, 2084.486, 0.0
2022/4/6/1/14, 783.874, 2121.944, 0.0
2022/4/6/2/14, 696.108, 2146.491, 0.0
2022/4/6/3/14, 644.901, 2151.111, 0.0
2022/4/6/4/14, 687.541, 2121.777, 0.0
2022/4/6/5/14, 905.556, 1950.889, 0.0
2022/4/6/6/14, 1432.892, 1833.728, 0.486
2022/4/6/7/14, 1965.887, 1808.455, 16.431
2022/4/6/8/14, 2229.246, 1752.975, 44.113
2022/4/6/9/14, 2250.493, 1567.317, 69.853
2022/4/6/10/14, 2154.173, 1314.563, 95.511
2022/4/6/11/14, 2001.064, 1318.366, 112.104
2022/4/6/12/14, 1893.686, 1206.055, 124.974
2022/4/6/13/14, 1836.863, 1155.572, 124.084
2022/4/6/14/14, 1848.1, 1160.681, 115.504
2022/4/6/15/14, 1814.562, 1264.196, 105.872
2022/4/6/16/14, 1924.296, 1201.326, 86.122
2022/4/6/17/14, 2152.805, 1102.464, 63.782
2022/4/6/18/14, 2243.498, 1006.464, 38.528
2022/4/6/19/14, 2284.838, 1014.594, 10.846
2022/4/6/20/14, 2304.729, 1089.577, 0.162
2022/4/6/21/14, 2093.752, 1293.014, 0.0
2022/4/6/22/14, 1955.114, 1413.572, 0.0
2022/4/6/23/14, 1772.237, 1385.748, 0.0
2022/4/6/24/14, 1399.41, 1349.693, 0.0
2022/4/7/1/14, 1064.696, 1281.422, 0.0
2022/4/7/2/14, 953.654, 1239.799, 0.0
2022/4/7/3/14, 847.305, 1181.723, 0.0
2022/4/7/4/14, 1001.205, 1118.505, 0.0
2022/4/7/5/14, 1201.106, 1102.533, 0.0
2022/4/7/6/14, 1580.991, 1061.472, 0.809
2022/4/7/7/14, 1980.626, 988.361, 14.57
2022/4/7/8/14, 2394.202, 742.455, 35.776
2022/4/7/9/14, 2329.189, 580.849, 55.121
2022/4/7/10/14, 2385.606, 498.344, 73.09
2022/4/7/11/14, 2191.581, 551.734, 90.979
2022/4/7/12/14, 2115.903, 585.245, 102.229
2022/4/7/13/14, 1824.649, 528.047, 105.548
2022/4/7/14/14, 1900.445, 536.486, 102.229
2022/4/7/15/14, 1917.081, 555.261, 101.906
2022/4/7/16/14, 1907.827, 562.663, 81.994
2022/4/7/17/14, 1825.486, 617.814, 57.954
2022/4/7/18/14, 2063.828, 751.318, 34.724
2022/4/7/19/14, 2031.954, 1018.086, 11.817
2022/4/7/20/14, 2019.191, 1365.021, 0.162
2022/4/7/21/14, 1646.919, 1896.318, 0.0
2022/4/7/22/14, 1361.036, 2174.735, 0.0
2022/4/7/23/14, 1070.205, 2310.359, 0.0
2022/4/7/24/14, 793.949, 2532.369, 0.0
2022/4/8/1/14, 796.516, 2652.112, 0.0
2022/4/8/2/14, 728.1, 2663.745, 0.0
2022/4/8/3/14, 718.731, 2797.273, 0.0
2022/4/8/4/14, 757.776, 2986.044, 0.0
2022/4/8/5/14, 779.183, 3023.804, 0.0
2022/4/8/6/14, 921.807, 3011.489, 0.648
2022/4/8/7/14, 1332.369, 2997.958, 10.684
2022/4/8/8/14, 1900.043, 2892.542, 21.935
2022/4/8/9/14, 2261.257, 2738.681, 39.581
2022/4/8/10/14, 2155.02, 2587.709, 51.722
2022/4/8/11/14, 2139.309, 2490.091, 62.325
2022/4/8/12/14, 2067.412, 2487.437, 74.871
2022/4/8/13/14, 1983.248, 2500.782, 71.957
2022/4/8/14/14, 1774.795, 2554.659, 75.033
2022/4/8/15/14, 1563.577, 2574.612, 72.281
2022/4/8/16/14, 1336.163, 2636.624, 61.839
2022/4/8/17/14, 1655.953, 2616.093, 43.951
2022/4/8/18/14, 1982.474, 2623.973, 28.006
2022/4/8/19/14, 1782.432, 2640.417, 8.418
2022/4/8/20/14, 2000.886, 2634.938, 0.162
2022/4/8/21/14, 1785.313, 2675.783, 0.0
2022/4/8/22/14, 1518.741, 2661.64, 0.0
2022/4/8/23/14, 1316.899, 2556.058, 0.0
2022/4/8/24/14, 1236.609, 2488.772, 0.0
2022/4/9/1/14, 1033.993, 2350.974, 0.0
2022/4/9/2/14, 1037.35, 2150.495, 0.0
2022/4/9/3/14, 1007.213, 1997.203, 0.0
2022/4/9/4/14, 1014.246, 1857.971, 0.0
2022/4/9/5/14, 1039.754, 1827.038, 0.0
2022/4/9/6/14, 1157.596, 1759.607, 4.533
2022/4/9/7/14, 1187.539, 1715.142, 27.682
2022/4/9/8/14, 1168.058, 1531.759, 51.236
2022/4/9/9/14, 1466.714, 1351.844, 105.305
2022/4/9/10/14, 1446.71, 1298.225, 139.22
2022/4/9/11/14, 1066.484, 1264.691, 166.497
2022/4/9/12/14, 1054.421, 1322.218, 192.641
2022/4/9/13/14, 1092.392, 1229.416, 196.284
2022/4/9/14/14, 979.837, 1365.594, 157.432
2022/4/9/15/14, 999.162, 1480.408, 170.059
2022/4/9/16/14, 987.587, 1565.701, 136.144
2022/4/9/17/14, 999.416, 1625.946, 99.882
2022/4/9/18/14, 1286.959, 1369.204, 64.915
2022/4/9/19/14, 1769.502, 1378.249, 19.426
2022/4/9/20/14, 1896.966, 1513.344, 0.081
2022/4/9/21/14, 1788.478, 1927.575, 0.0
2022/4/9/22/14, 1695.08, 2009.738, 0.0
2022/4/9/23/14, 1498.524, 2036.413, 0.0
2022/4/9/24/14, 1262.514, 2020.868, 0.0
2022/4/10/1/14, 1167.003, 1967.428, 0.0
2022/4/10/2/14, 994.517, 1865.916, 0.0
2022/4/10/3/14, 850.333, 1903.207, 0.0
2022/4/10/4/14, 824.498, 1980.534, 0.0
2022/4/10/5/14, 827.366, 1905.976, 0.0
2022/4/10/6/14, 855.184, 1768.27, 6.961
2022/4/10/7/14, 949.915, 1531.878, 37.962
2022/4/10/8/14, 1203.165, 1230.776, 62.082
2022/4/10/9/14, 1428.549, 997.368, 131.207
2022/4/10/10/14, 1338.678, 847.129, 169.006
2022/4/10/11/14, 1044.138, 754.056, 199.036
2022/4/10/12/14, 998.873, 775.567, 225.666
2022/4/10/13/14, 973.483, 828.576, 228.903
2022/4/10/14/14, 930.788, 904.647, 177.02
2022/4/10/15/14, 961.998, 982.781, 196.769
2022/4/10/16/14, 973.583, 1017.98, 158.727
2022/4/10/17/14, 1102.813, 1027.42, 117.042
2022/4/10/18/14, 1396.021, 1075.579, 77.542
2022/4/10/19/14, 1644.892, 1229.929, 25.092
2022/4/10/20/14, 1976.597, 1345.915, 0.324
2022/4/10/21/14, 1856.135, 1472.388, 0.0
2022/4/10/22/14, 1613.829, 1582.31, 0.0
2022/4/10/23/14, 1387.709, 1577.637, 0.0
2022/4/10/24/14, 1141.431, 1537.845, 0.0
2022/4/11/1/15, 1022.896, 1484.27, 0.0
2022/4/11/2/15, 969.668, 1386.625, 0.0
2022/4/11/3/15, 1036.585, 1257.87, 0.0
2022/4/11/4/15, 1128.975, 1133.758, 0.0
2022/4/11/5/15, 1271.632, 1011.364, 0.0
2022/4/11/6/15, 1709.38, 1025.755, 12.87
2022/4/11/7/15, 2261.046, 1137.691, 50.265
2022/4/11/8/15, 2440.075, 1024.811, 75.923
2022/4/11/9/15, 2454.589, 840.889, 127.969
2022/4/11/10/15, 2327.496, 886.23, 164.069
2022/4/11/11/15, 2286.7, 1109.547, 190.132
2022/4/11/12/15, 2110.831, 1325.016, 204.297
2022/4/11/13/15, 1868.003, 1534.215, 205.835
2022/4/11/14/15, 1725.048, 1623.657, 154.032
2022/4/11/15/15, 1476.966, 1622.266, 180.662
2022/4/11/16/15, 1553.119, 1531.596, 147.233
2022/4/11/17/15, 1757.329, 1344.203, 106.762
2022/4/11/18/15, 2028.402, 1107.986, 66.696
2022/4/11/19/15, 2105.521, 917.904, 23.311
2022/4/11/20/15, 2176.557, 888.696, 0.324
2022/4/11/21/15, 1708.026, 979.578, 0.0
2022/4/11/22/15, 1581.956, 1094.687, 0.0
2022/4/11/23/15, 1581.206, 1012.106, 0.0
2022/4/11/24/15, 1277.414, 959.489, 0.0
2022/4/12/1/15, 1130.554, 936.73, 0.0
2022/4/12/2/15, 1149.362, 848.132, 0.0
2022/4/12/3/15, 1193.106, 895.673, 0.0
2022/4/12/4/15, 1315.006, 871.396, 0.0
2022/4/12/5/15, 1424.062, 797.534, 0.0
2022/4/12/6/15, 1781.944, 682.291, 4.937
2022/4/12/7/15, 1943.293, 575.597, 24.363
2022/4/12/8/15, 2172.096, 394.535, 28.977
2022/4/12/9/15, 2198.888, 164.072, 71.957
2022/4/12/10/15, 2105.366, 118.561, 93.811
2022/4/12/11/15, 1840.247, 173.024, 110.081
2022/4/12/12/15, 1690.694, 193.668, 144.886
2022/4/12/13/15, 1621.235, 207.387, 147.8
2022/4/12/14/15, 1574.04, 211.301, 69.448
2022/4/12/15/15, 1502.953, 207.219, 128.859
2022/4/12/16/15, 1533.323, 227.203, 105.953
2022/4/12/17/15, 1691.172, 181.952, 76.652
2022/4/12/18/15, 2113.516, 139.072, 49.617
2022/4/12/19/15, 2213.195, 119.004, 19.588
2022/4/12/20/15, 2232.764, 150.785, 0.324
2022/4/12/21/15, 2193.325, 220.643, 0.0
2022/4/12/22/15, 2058.987, 278.371, 0.0
2022/4/12/23/15, 1845.76, 336.636, 0.0
2022/4/12/24/15, 1566.227, 358.286, 0.0
2022/4/13/1/15, 1638.553, 310.595, 0.0
2022/4/13/2/15, 1544.809, 284.965, 0.0
2022/4/13/3/15, 1523.942, 270.019, 0.0
2022/4/13/4/15, 1493.623, 213.932, 0.0
2022/4/13/5/15, 1642.594, 174.542, 0.0
2022/4/13/6/15, 1940.448, 138.266, 3.076
2022/4/13/7/15, 2240.365, 121.527, 24.283
2022/4/13/8/15, 2357.807, 139.739, 25.173
2022/4/13/9/15, 2393.119, 116.84, 73.981
2022/4/13/10/15, 2383.131, 53.353, 99.316
2022/4/13/11/15, 2344.481, 73.811, 118.499
2022/4/13/12/15, 2248.328, 181.19, 129.912
2022/4/13/13/15, 2003.039, 291.461, 133.068
2022/4/13/14/15, 1773.354, 354.956, 60.463
2022/4/13/15/15, 1620.042, 443.467, 117.366
2022/4/13/16/15, 1651.971, 482.841, 98.182
2022/4/13/17/15, 1678.205, 466.594, 72.119
2022/4/13/18/15, 2009.678, 477.872, 47.675
2022/4/13/19/15, 2089.771, 547.673, 20.397
2022/4/13/20/15, 1950.329, 658.865, 0.405
2022/4/13/21/15, 1888.652, 869.54, 0.0
2022/4/13/22/15, 1719.493, 1082.643, 0.0
2022/4/13/23/15, 1507.085, 1285.275, 0.0
2022/4/13/24/15, 1420.886, 1169.51, 0.0
2022/4/14/1/15, 1436.381, 1135.784, 0.0
2022/4/14/2/15, 1375.801, 1035.876, 0.0
2022/4/14/3/15, 1373.363, 896.937, 0.0
2022/4/14/4/15, 1448.3, 775.656, 0.0
2022/4/14/5/15, 1500.613, 769.691, 0.0
2022/4/14/6/15, 1702.559, 834.42, 1.781
2022/4/14/7/15, 1978.343, 791.818, 3.157
2022/4/14/8/15, 2182.26, 645.439, 27.682
2022/4/14/9/15, 2242.143, 536.092, 39.5
2022/4/14/10/15, 2372.718, 365.786, 54.879
2022/4/14/11/15, 2252.313, 257.074, 61.03
2022/4/14/12/15, 2104.265, 200.652, 64.511
2022/4/14/13/15, 2023.631, 163.381, 61.516
2022/4/14/14/15, 1977.082, 183.848, 64.025
2022/4/14/15/15, 1978.721, 203.966, 65.482
2022/4/14/16/15, 1872.74, 239.897, 56.174
2022/4/14/17/15, 2116.027, 286.922, 43.304
2022/4/14/18/15, 2099.864, 365.024, 32.296
2022/4/14/19/15, 2167.647, 374.362, 13.841
2022/4/14/20/15, 2057.974, 527.262, 1.376
2022/4/14/21/15, 1836.301, 857.998, 0.0
2022/4/14/22/15, 1761.166, 1133.646, 0.0
2022/4/14/23/15, 1487.368, 1419.755, 0.0
2022/4/14/24/15, 1249.622, 1648.147, 0.0
2022/4/15/1/15, 1202.596, 1873.57, 0.0
2022/4/15/2/15, 1099.575, 2001.442, 0.0
2022/4/15/3/15, 1031.347, 1973.947, 0.0
2022/4/15/4/15, 1090.498, 1831.916, 0.0
2022/4/15/5/15, 1201.899, 1747.448, 0.0
2022/4/15/6/15, 1337.056, 1720.369, 4.371
2022/4/15/7/15, 1495.468, 1542.981, 10.846
2022/4/15/8/15, 1634.255, 946.479, 71.714
2022/4/15/9/15, 2071.694, 578.282, 101.339
2022/4/15/10/15, 2100.362, 600.979, 140.353
2022/4/15/11/15, 1956.899, 900.003, 170.463
2022/4/15/12/15, 1962.282, 1106.176, 175.644
2022/4/15/13/15, 1736.425, 1198.826, 172.244
2022/4/15/14/15, 1668.237, 1173.67, 185.518
2022/4/15/15/15, 1463.799, 1209.957, 173.539
2022/4/15/16/15, 1492.936, 1214.822, 156.946
2022/4/15/17/15, 1805.511, 1204.598, 119.308
2022/4/15/18/15, 1954.885, 1116.304, 79.566
2022/4/15/19/15, 2065.747, 955.615, 34.481
2022/4/15/20/15, 2088.392, 872.624, 2.266
2022/4/15/21/15, 1969.492, 981.281, 0.0
2022/4/15/22/15, 1884.701, 1126.806, 0.0
2022/4/15/23/15, 1881.678, 1053.493, 0.0
2022/4/15/24/15, 1629.273, 862.172, 0.0
2022/4/16/1/15, 1523.335, 686.366, 0.0
2022/4/16/2/15, 1470.563, 521.981, 0.0
2022/4/16/3/15, 1403.576, 426.009, 0.0
2022/4/16/4/15, 1419.196, 331.101, 0.0
2022/4/16/5/15, 1415.488, 267.891, 0.0
2022/4/16/6/15, 1451.956, 204.295, 7.77
2022/4/16/7/15, 1469.171, 163.965, 15.946
2022/4/16/8/15, 1562.711, 180.109, 81.346
2022/4/16/9/15, 1556.462, 214.593, 116.394
2022/4/16/10/15, 1800.548, 198.794, 136.953
2022/4/16/11/15, 1772.835, 255.657, 165.283
2022/4/16/12/15, 1459.595, 399.382, 154.599
2022/4/16/13/15, 1303.173, 591.129, 174.106
2022/4/16/14/15, 1069.18, 772.956, 156.056
2022/4/16/15/15, 979.527, 852.118, 140.677
2022/4/16/16/15, 1002.463, 886.302, 105.305
2022/4/16/17/15, 1188.832, 813.62, 77.704
2022/4/16/18/15, 1303.956, 703.9, 51.479
2022/4/16/19/15, 1421.691, 625.131, 22.502
2022/4/16/20/15, 1266.173, 750.03, 1.781
2022/4/16/21/15, 1263.991, 979.555, 0.0
2022/4/16/22/15, 1108.349, 1237.692, 0.0
2022/4/16/23/15, 928.142, 1340.122, 0.0
2022/4/16/24/15, 893.485, 1269.456, 0.0
2022/4/17/1/15, 993.538, 1166.92, 0.0
2022/4/17/2/15, 997.415, 1041.491, 0.0
2022/4/17/3/15, 1036.189, 843.679, 0.0
2022/4/17/4/15, 1107.081, 717.125, 0.0
2022/4/17/5/15, 1106.742, 657.397, 0.0
2022/4/17/6/15, 1092.593, 564.79, 8.175
2022/4/17/7/15, 1133.876, 562.65, 19.588
2022/4/17/8/15, 1208.814, 484.597, 88.793
2022/4/17/9/15, 1512.789, 282.053, 133.068
2022/4/17/10/15, 1825.874, 137.424, 156.865
2022/4/17/11/15, 1436.755, 160.398, 186.814
2022/4/17/12/15, 1081.928, 203.853, 211.986
2022/4/17/13/15, 928.325, 222.834, 208.263
2022/4/17/14/15, 919.677, 208.725, 204.459
2022/4/17/15/15, 886.479, 236.594, 170.706
2022/4/17/16/15, 890.419, 259.945, 136.549
2022/4/17/17/15, 898.197, 218.7, 109.029
2022/4/17/18/15, 1031.718, 187.418, 75.276
2022/4/17/19/15, 1316.068, 214.106, 32.215
2022/4/17/20/15, 1835.427, 276.447, 3.48
2022/4/17/21/15, 2139.72, 377.654, 0.0
2022/4/17/22/15, 2140.377, 416.294, 0.0
2022/4/17/23/15, 1775.79, 439.973, 0.0
2022/4/17/24/15, 1514.305, 449.096, 0.0
2022/4/18/1/16, 1363.416, 433.234, 0.0
2022/4/18/2/16, 1285.006, 331.909, 0.0
2022/4/18/3/16, 1264.735, 240.421, 0.0
2022/4/18/4/16, 1375.694, 191.111, 0.0
2022/4/18/5/16, 1650.231, 140.013, 0.0
2022/4/18/6/16, 1726.858, 151.592, 6.637
2022/4/18/7/16, 1753.912, 202.226, 17.564
2022/4/18/8/16, 1821.636, 212.917, 73.171
2022/4/18/9/16, 1787.39, 119.963, 108.705
2022/4/18/10/16, 1779.791, 61.906, 125.703
2022/4/18/11/16, 1734.826, 67.995, 135.82
2022/4/18/12/16, 1567.832, 65.173, 144.157
2022/4/18/13/16, 1413.229, 57.827, 155.57
2022/4/18/14/16, 1208.942, 62.187, 136.144
2022/4/18/15/16, 1083.968, 59.187, 142.781
2022/4/18/16/16, 1191.759, 54.4, 137.682
2022/4/18/17/16, 1371.732, 62.662, 107.167
2022/4/18/18/16, 1797.268, 78.016, 72.362
2022/4/18/19/16, 2022.051, 100.227, 38.285
2022/4/18/20/16, 1985.468, 146.255, 4.857
2022/4/18/21/16, 1699.862, 167.031, 0.0
2022/4/18/22/16, 1571.676, 190.517, 0.0
2022/4/18/23/16, 1365.858, 244.702, 0.0
2022/4/18/24/16, 1270.327, 255.236, 0.0
2022/4/19/1/16, 1274.427, 223.094, 0.0
2022/4/19/2/16, 1255.095, 245.829, 0.0
2022/4/19/3/16, 1165.241, 234.2, 0.0
2022/4/19/4/16, 1252.569, 200.511, 0.0
2022/4/19/5/16, 1291.03, 218.256, 0.081
2022/4/19/6/16, 1557.62, 232.168, 11.817
2022/4/19/7/16, 1734.742, 258.369, 44.923
2022/4/19/8/16, 2012.513, 211.911, 93.892
2022/4/19/9/16, 1992.077, 79.816, 135.82
2022/4/19/10/16, 2010.949, 41.227, 174.349
2022/4/19/11/16, 1846.271, 46.535, 207.939
2022/4/19/12/16, 1736.616, 55.586, 221.538
2022/4/19/13/16, 1753.616, 75.078, 229.632
2022/4/19/14/16, 1750.746, 82.562, 222.185
2022/4/19/15/16, 1663.421, 73.195, 204.945
2022/4/19/16/16, 1737.021, 77.414, 171.92
2022/4/19/17/16, 1690.72, 71.565, 129.669
2022/4/19/18/16, 1840.054, 71.927, 89.926
2022/4/19/19/16, 1836.516, 84.943, 44.437
2022/4/19/20/16, 1867.779, 130.871, 5.99
2022/4/19/21/16, 1840.427, 226.145, 0.0
2022/4/19/22/16, 1825.389, 294.594, 0.0
2022/4/19/23/16, 1522.673, 346.219, 0.0
2022/4/19/24/16, 1258.49, 388.726, 0.0
2022/4/20/1/16, 1180.774, 400.375, 0.0
2022/4/20/2/16, 1137.56, 337.896, 0.0
2022/4/20/3/16, 1183.921, 267.334, 0.0
2022/4/20/4/16, 1291.507, 176.13, 0.0
2022/4/20/5/16, 1308.792, 115.215, 0.0
2022/4/20/6/16, 1482.368, 97.95, 13.841
2022/4/20/7/16, 1814.805, 111.895, 35.695
2022/4/20/8/16, 2052.834, 118.629, 98.668
2022/4/20/9/16, 2036.391, 84.874, 141.081
2022/4/20/10/16, 1959.038, 54.004, 178.234
2022/4/20/11/16, 1762.244, 57.338, 209.153
2022/4/20/12/16, 1555.37, 67.3, 227.527
2022/4/20/13/16, 1465.171, 68.95, 234.084
2022/4/20/14/16, 1348.254, 84.729, 229.713
2022/4/20/15/16, 1384.05, 102.312, 210.772
2022/4/20/16/16, 1384.806, 114.713, 173.134
2022/4/20/17/16, 1361.876, 127.55, 135.011
2022/4/20/18/16, 1420.141, 126.51, 92.274
2022/4/20/19/16, 1704.425, 127.7, 45.894
2022/4/20/20/16, 1818.389, 192.682, 6.799
2022/4/20/21/16, 1824.759, 264.749, 0.0
2022/4/20/22/16, 1747.75, 331.99, 0.0
2022/4/20/23/16, 1468.509, 399.695, 0.0
2022/4/20/24/16, 1164.401, 395.15, 0.0
2022/4/21/1/16, 1031.588, 441.584, 0.0
2022/4/21/2/16, 965.897, 610.627, 0.0
2022/4/21/3/16, 1014.044, 788.889, 0.0
2022/4/21/4/16, 1071.714, 881.312, 0.0
2022/4/21/5/16, 1128.659, 927.397, 0.081
2022/4/21/6/16, 1319.412, 882.235, 15.217
2022/4/21/7/16, 1731.484, 717.074, 39.095
2022/4/21/8/16, 2098.537, 396.457, 101.825
2022/4/21/9/16, 2161.272, 163.705, 145.452
2022/4/21/10/16, 1995.886, 122.205, 183.9
2022/4/21/11/16, 1806.853, 170.135, 216.438
2022/4/21/12/16, 1671.802, 215.443, 234.003
