Time, EnergyGeneration, StorageCapacity
2022/1/8/15/1, 2860.465, 15000.0
2022/1/8/16/1, 2870.814, 15000.0
2022/1/8/17/1, 3158.308, 15000.0
2022/1/8/18/1, 3311.56, 15000.0
2022/1/8/19/1, 3348.353, 15000.0
2022/1/8/20/1, 3331.118, 15000.0
2022/1/8/21/1, 3229.254, 15000.0
2022/1/8/22/1, 2751.165, 15000.0
2022/1/8/23/1, 2536.5, 15000.0
2022/1/8/24/1, 2280.062, 15000.0
2022/1/9/1/1, 2073.738, 15000.0
2022/1/9/2/1, 1888.721, 15000.0
2022/1/9/3/1, 1777.359, 15000.0
2022/1/9/4/1, 1761.66, 15000.0
2022/1/9/5/1, 1578.486, 15000.0
2022/1/9/6/1, 1625.385, 15000.0
2022/1/9/7/1, 1700.204, 15000.0
2022/1/9/8/1, 1747.998, 15000.0
2022/1/9/9/1, 1773.83, 15000.0
2022/1/9/10/1, 1920.957, 15000.0
2022/1/9/11/1, 2078.411, 15000.0
2022/1/9/12/1, 2059.378, 15000.0
2022/1/9/13/1, 2084.3, 15000.0
2022/1/9/14/1, 2160.964, 15000.0
2022/1/9/15/1, 2169.799, 15000.0
2022/1/9/16/1, 2347.111, 15000.0
2022/1/9/17/1, 2429.582, 15000.0
2022/1/9/18/1, 2598.033, 15000.0
2022/1/9/19/1, 2578.227, 15000.0
2022/1/9/20/1, 2473.058, 15000.0
2022/1/9/21/1, 2493.392, 15000.0
2022/1/9/22/1, 2244.308, 15000.0
2022/1/9/23/1, 2183.457, 15000.0
2022/1/9/24/1, 2158.164, 15000.0
2022/1/10/1/2, 1968.803, 15000.0
2022/1/10/2/2, 1579.899, 15000.0
2022/1/10/3/2, 1478.248, 15000.0
2022/1/10/4/2, 1443.467, 15000.0
2022/1/10/5/2, 1477.149, 15000.0
2022/1/10/6/2, 1594.546, 15000.0
2022/1/10/7/2, 1857.764, 15000.0
2022/1/10/8/2, 1962.113, 15000.0
2022/1/10/9/2, 2242.829, 15000.0
2022/1/10/10/2, 2561.621, 15000.0
2022/1/10/11/2, 2584.732, 15000.0
2022/1/10/12/2, 2538.661, 15000.0
2022/1/10/13/2, 2447.59, 15000.0
2022/1/10/14/2, 2427.571, 15000.0
2022/1/10/15/2, 2465.762, 15000.0
2022/1/10/16/2, 2368.743, 15000.0
2022/1/10/17/2, 2347.113, 15000.0
